,SPY,EFA,EEM,TLT,LQD
2003-10-31,73.202522,24.31489,11.625045,46.484608,51.237671
2003-11-03,73.682228,24.43782,11.902337,46.26432,51.264221
2003-11-04,73.522331,24.572472,11.935237,46.527321,51.343624
2003-11-05,73.577927,24.431976,11.950901,46.20953,50.984013
2003-11-06,73.967209,24.217318,11.86552,45.776695,50.703896
2003-11-07,73.41803,24.441727,11.878051,45.749313,50.801952
2003-11-10,73.119148,24.238781,11.714344,45.710941,50.652477
2003-11-11,73.098282,24.147064,11.563949,45.716423,50.871998
2003-11-12,73.918617,24.650528,11.76996,46.050663,50.900036
2003-11-13,73.939461,24.791039,11.860823,46.762932,51.38102
2003-11-14,73.313782,24.623215,11.80051,47.075245,51.661182
2003-11-17,72.945328,24.199753,11.570216,47.146473,51.759254
2003-11-18,72.187561,24.295368,11.592931,47.436794,51.988022
2003-11-19,72.799347,24.35392,11.517735,46.910843,51.530437
2003-11-20,72.145866,24.197802,11.368907,47.365623,51.777946
2003-11-21,72.444809,24.459291,11.467599,47.393024,51.950684
2003-11-24,73.404144,24.642731,11.592149,47.004025,51.600452
2003-11-25,73.682228,24.681761,11.632096,47.261497,51.763882
2003-11-26,73.946388,24.89056,11.738624,47.069729,51.651863
2003-11-28,74.001999,24.929594,11.843589,46.64238,51.394981
2003-12-01,74.80146,25.423309,12.182758,46.382504,51.288113
2003-12-02,74.613754,25.483797,12.128713,46.580681,51.428764
2003-12-03,74.495583,25.534534,12.086412,46.393509,51.339653
2003-12-04,74.80146,25.593079,12.003381,46.498123,51.381882
2003-12-05,74.280083,25.409645,11.980665,47.241417,51.916363
2003-12-08,74.780624,25.622353,12.004167,46.911041,51.527225
2003-12-09,74.203606,25.515022,11.954035,46.580681,51.36314
2003-12-10,74.196632,25.331585,11.906256,46.657776,51.48032
2003-12-11,75.030876,25.612595,12.123229,46.99366,51.714798
2003-12-12,75.176888,25.696507,12.178843,47.081776,51.855392
2003-12-15,74.80146,25.524775,12.188243,47.054237,51.738201
2003-12-16,75.190781,25.851841,12.13733,47.20842,52.514492
2003-12-17,75.427147,25.791124,11.996335,47.527771,52.633251
2003-12-18,76.275261,26.174995,12.189812,47.957218,52.937111
2003-12-19,76.06292,26.028116,12.219575,47.940701,52.970333
2003-12-22,76.593765,26.200138,12.392123,47.808582,52.870613
2003-12-23,76.642662,26.255623,12.425953,47.268967,52.566753
2003-12-24,76.565796,26.319046,12.466085,47.714939,52.880119
2003-12-26,76.621666,26.271473,12.497553,47.891136,52.894367
2003-12-29,77.641441,26.713434,12.686389,47.461685,52.789913
2003-12-30,77.655441,26.764963,12.746969,47.268967,52.585747
2003-12-31,77.725273,27.107822,12.907676,47.268967,52.71685
2004-01-02,77.690338,27.181143,13.195071,46.710251,52.340218
2004-01-05,78.5355,27.704365,13.658057,46.588566,52.397438
2004-01-06,78.612328,27.745977,13.503731,47.103008,52.869453
2004-01-07,78.877747,27.468512,13.535227,47.291103,52.912354
2004-01-08,79.192024,27.862909,13.586401,47.274502,52.998131
2004-01-09,78.500557,27.686525,13.561996,48.09874,53.427219
2004-01-12,79.080322,27.678589,13.550187,48.06002,53.517857
2004-01-13,78.619308,27.518061,13.473022,48.386356,53.660866
2004-01-14,79.275864,27.755877,13.49428,48.624256,53.775303
2004-01-15,79.471436,27.587423,13.218694,48.80682,54.018444
2004-01-16,79.785774,27.488333,13.275381,48.463852,53.780067
2004-01-20,79.764778,27.785618,13.661208,48.452778,53.670387
2004-01-21,80.393394,28.122534,13.679319,48.568928,53.79435
2004-01-22,80.183861,28.140373,13.644671,48.922974,54.06612
2004-01-23,79.92543,27.83913,13.621837,48.336582,53.637058
